Dataset,#TrainRelease,Classifier,FeatSel,Sampling,CostSens,TP,FP,FN,TN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,random forest,no selection,no sampling,no cost sensitive,804,1,1,83,0.988,0.988,0.999,0.987
BOOKKEEPER,1,naive bayes,no selection,no sampling,no cost sensitive,751,54,25,59,0.522,0.702,0.898,0.550
BOOKKEEPER,1,ibk,no selection,no sampling,no cost sensitive,804,1,1,83,0.988,0.988,0.996,0.987
BOOKKEEPER,2,random forest,no selection,no sampling,no cost sensitive,825,15,37,93,0.861,0.715,0.986,0.751
BOOKKEEPER,2,naive bayes,no selection,no sampling,no cost sensitive,785,55,68,62,0.530,0.477,0.757,0.430
BOOKKEEPER,2,ibk,no selection,no sampling,no cost sensitive,831,9,42,88,0.907,0.677,0.872,0.746
BOOKKEEPER,3,random forest,no selection,no sampling,no cost sensitive,838,0,13,119,1.000,0.902,0.998,0.941
BOOKKEEPER,3,naive bayes,no selection,no sampling,no cost sensitive,786,52,69,63,0.548,0.477,0.833,0.439
BOOKKEEPER,3,ibk,no selection,no sampling,no cost sensitive,838,0,43,89,1.000,0.674,0.880,0.781
BOOKKEEPER,4,random forest,no selection,no sampling,no cost sensitive,841,14,30,140,0.909,0.824,0.987,0.839
BOOKKEEPER,4,naive bayes,no selection,no sampling,no cost sensitive,797,58,82,88,0.603,0.518,0.881,0.477
BOOKKEEPER,4,ibk,no selection,no sampling,no cost sensitive,844,11,50,120,0.916,0.706,0.885,0.763
BOOKKEEPER,5,random forest,no selection,no sampling,no cost sensitive,843,12,8,167,0.933,0.954,0.996,0.932
BOOKKEEPER,5,naive bayes,no selection,no sampling,no cost sensitive,797,58,83,92,0.613,0.526,0.878,0.485
BOOKKEEPER,5,ibk,no selection,no sampling,no cost sensitive,844,11,43,132,0.923,0.754,0.902,0.800
BOOKKEEPER,6,random forest,no selection,no sampling,no cost sensitive,862,92,12,88,0.489,0.880,0.953,0.577
BOOKKEEPER,6,naive bayes,no selection,no sampling,no cost sensitive,853,101,47,53,0.344,0.530,0.866,0.342
BOOKKEEPER,6,ibk,no selection,no sampling,no cost sensitive,882,72,25,75,0.510,0.750,0.885,0.557
BOOKKEEPER,7,random forest,no selection,no sampling,no cost sensitive,958,103,18,31,0.231,0.633,0.916,0.293
BOOKKEEPER,7,naive bayes,no selection,no sampling,no cost sensitive,929,132,26,23,0.148,0.469,0.810,0.170
BOOKKEEPER,7,ibk,no selection,no sampling,no cost sensitive,951,110,21,28,0.203,0.571,0.808,0.251
BOOKKEEPER,8,random forest,no selection,no sampling,no cost sensitive,1034,31,17,35,0.530,0.673,0.954,0.571
BOOKKEEPER,8,naive bayes,no selection,no sampling,no cost sensitive,960,105,22,30,0.222,0.577,0.898,0.272
BOOKKEEPER,8,ibk,no selection,no sampling,no cost sensitive,990,75,24,28,0.272,0.538,0.814,0.319
BOOKKEEPER,9,random forest,no selection,no sampling,no cost sensitive,1229,45,16,33,0.423,0.673,0.938,0.497
BOOKKEEPER,9,naive bayes,no selection,no sampling,no cost sensitive,1180,94,20,29,0.236,0.592,0.894,0.300
BOOKKEEPER,9,ibk,no selection,no sampling,no cost sensitive,1198,76,18,31,0.290,0.633,0.843,0.365
BOOKKEEPER,10,random forest,no selection,no sampling,no cost sensitive,1264,7,16,44,0.863,0.733,0.969,0.784
BOOKKEEPER,10,naive bayes,no selection,no sampling,no cost sensitive,1196,75,25,35,0.318,0.583,0.898,0.375
BOOKKEEPER,10,ibk,no selection,no sampling,no cost sensitive,1207,64,20,40,0.385,0.667,0.860,0.457
BOOKKEEPER,11,random forest,no selection,no sampling,no cost sensitive,1281,26,28,39,0.600,0.582,0.954,0.570
BOOKKEEPER,11,naive bayes,no selection,no sampling,no cost sensitive,1195,112,23,44,0.282,0.657,0.910,0.350
BOOKKEEPER,11,ibk,no selection,no sampling,no cost sensitive,1257,50,30,37,0.425,0.552,0.835,0.450
BOOKKEEPER,12,random forest,no selection,no sampling,no cost sensitive,1306,0,8,63,1.000,0.887,0.985,0.937
BOOKKEEPER,12,naive bayes,no selection,no sampling,no cost sensitive,1203,103,25,46,0.309,0.648,0.913,0.374
BOOKKEEPER,12,ibk,no selection,no sampling,no cost sensitive,1287,19,12,59,0.756,0.831,0.938,0.780
BOOKKEEPER,13,random forest,no selection,no sampling,no cost sensitive,1296,2,20,60,0.968,0.750,0.987,0.837
BOOKKEEPER,13,naive bayes,no selection,no sampling,no cost sensitive,1204,94,28,52,0.356,0.650,0.914,0.416
BOOKKEEPER,13,ibk,no selection,no sampling,no cost sensitive,1274,24,25,55,0.696,0.688,0.889,0.673
BOOKKEEPER,14,random forest,no selection,no sampling,no cost sensitive,1297,4,16,65,0.942,0.802,0.986,0.859
BOOKKEEPER,14,naive bayes,no selection,no sampling,no cost sensitive,1205,96,33,48,0.333,0.593,0.914,0.380
BOOKKEEPER,14,ibk,no selection,no sampling,no cost sensitive,1279,22,23,58,0.725,0.716,0.894,0.703
BOOKKEEPER,15,random forest,no selection,no sampling,no cost sensitive,1306,16,16,65,0.802,0.802,0.986,0.790
BOOKKEEPER,15,naive bayes,no selection,no sampling,no cost sensitive,1227,95,33,48,0.336,0.593,0.914,0.383
BOOKKEEPER,15,ibk,no selection,no sampling,no cost sensitive,1290,32,22,59,0.648,0.728,0.898,0.666
BOOKKEEPER,16,random forest,no selection,no sampling,no cost sensitive,1326,7,16,62,0.899,0.795,0.994,0.835
BOOKKEEPER,16,naive bayes,no selection,no sampling,no cost sensitive,1235,98,33,45,0.315,0.577,0.918,0.362
BOOKKEEPER,16,ibk,no selection,no sampling,no cost sensitive,1302,31,19,59,0.656,0.756,0.907,0.684
BOOKKEEPER,17,random forest,no selection,no sampling,no cost sensitive,1339,5,12,60,0.923,0.833,0.999,0.870
BOOKKEEPER,17,naive bayes,no selection,no sampling,no cost sensitive,1249,95,28,44,0.317,0.611,0.924,0.375
BOOKKEEPER,17,ibk,no selection,no sampling,no cost sensitive,1326,18,12,60,0.769,0.833,0.938,0.789
BOOKKEEPER,18,random forest,no selection,no sampling,no cost sensitive,1308,0,45,63,1.000,0.583,0.916,0.721
BOOKKEEPER,18,naive bayes,no selection,no sampling,no cost sensitive,1223,85,57,51,0.375,0.472,0.890,0.364
BOOKKEEPER,18,ibk,no selection,no sampling,no cost sensitive,1294,14,45,63,0.818,0.583,0.830,0.659
BOOKKEEPER,19,random forest,no selection,no sampling,no cost sensitive,1340,20,39,66,0.767,0.629,0.958,0.670
BOOKKEEPER,19,naive bayes,no selection,no sampling,no cost sensitive,1264,96,50,55,0.364,0.524,0.888,0.377
BOOKKEEPER,19,ibk,no selection,no sampling,no cost sensitive,1325,35,48,57,0.620,0.543,0.815,0.548
BOOKKEEPER,20,random forest,no selection,no sampling,no cost sensitive,1376,10,56,73,0.880,0.566,0.964,0.666
BOOKKEEPER,20,naive bayes,no selection,no sampling,no cost sensitive,1294,92,66,63,0.406,0.488,0.879,0.387
BOOKKEEPER,20,ibk,no selection,no sampling,no cost sensitive,1348,38,59,70,0.648,0.543,0.818,0.556
BOOKKEEPER,21,random forest,no selection,no sampling,no cost sensitive,1401,53,41,63,0.543,0.606,0.955,0.540
BOOKKEEPER,21,naive bayes,no selection,no sampling,no cost sensitive,1340,114,52,52,0.313,0.500,0.856,0.330
BOOKKEEPER,21,ibk,no selection,no sampling,no cost sensitive,1390,64,50,54,0.458,0.519,0.791,0.447
BOOKKEEPER,22,random forest,no selection,no sampling,no cost sensitive,1461,5,23,73,0.936,0.760,0.984,0.830
BOOKKEEPER,22,naive bayes,no selection,no sampling,no cost sensitive,1352,114,46,50,0.305,0.521,0.870,0.333
BOOKKEEPER,22,ibk,no selection,no sampling,no cost sensitive,1418,48,36,60,0.556,0.625,0.831,0.560
BOOKKEEPER,1,random forest,no selection,no sampling,sensitive threshold,763,42,0,84,0.667,1.000,0.974,0.774
BOOKKEEPER,1,naive bayes,no selection,no sampling,sensitive threshold,725,80,18,66,0.452,0.786,0.843,0.516
BOOKKEEPER,1,ibk,no selection,no sampling,sensitive threshold,804,1,1,83,0.988,0.988,0.993,0.987
BOOKKEEPER,2,random forest,no selection,no sampling,sensitive threshold,802,38,11,119,0.758,0.915,0.935,0.800
